escopo,modelo,mae,rmse,wape,bias
sku_dia,base,16.398694845577896,83.44401556245384,0.5189042526752556,4.740280499977527
sku_dia,uplift_4_shrink,16.211524817607653,82.40960573372806,0.5129816274662564,4.37778453446936
total_dia,base,12625.032807286523,15294.780567793196,0.22038116736305274,8592.905248265713
total_dia,uplift_4_shrink,12260.046959937632,14883.346377912725,0.21401001503913025,7935.793610145345
meta,info,1482.0,1474.0,56195.0,17161.0
