sku1,sku2,effect_12,effect_21,uplift_12,uplift_21,score
2387158,3102751473,1.2076467548725005,1.219105115352424,1.0121957186097714,0.6260787805249582,1.395470389029988
3102751471,3102751473,0.875521081639918,0.9737863035218864,0.9305863015151316,1.4546635016242866,1.1546969720944575
2387158,3102751471,0.8540826108233217,0.9392112868786671,0.5912068982297011,0.4450660466971404,0.9876024248324639
2340368,3102751473,0.730486853567841,1.5441640756306279,0.6541352287615212,1.4707882039985667,0.9267274221962973
2387158,3110436-1,0.7625600521677838,0.7471737980932414,0.38647631223808515,0.39001593321514316,0.8631166917646669
2032057,2387158,0.748569567701697,0.7615884423976946,0.3788083532505673,0.4837142997914237,0.8622120736768673
2032071,31027532405,0.6388365407556402,0.8547021397887693,1.9966937323484686,0.7020547005187769,0.8494529509112733
2387158,2387413,0.7489747589590451,0.6600797459541675,0.6140860356508586,0.36325594818187656,0.7690565304087305
2340368,3102751477,0.6128246625334839,0.8660363619206415,0.520072647565717,0.758828781790803,0.768846456803199
1768006,3102751473,0.912727927186984,0.6182496814908672,0.7399194414607948,0.45961535059006703,0.7561342866678873
2032055,31027532405,1.018457590585601,0.6060539228954888,2.7022344828396796,0.4025591888830964,0.7268216795604177
2387158,3108194-1,0.662445390831112,0.6211202814255666,0.53860920213805,0.30312227809275455,0.712056964853393
2419775,2466149,0.6007669069364405,0.744155680620654,0.34799141228032165,0.48476699972638143,0.7051643306205371
