sku,n_obs,rank_modelo,dof_modelo,elasticidade_preco,p_value_preco,semi_elasticidade_desconto,p_value_desconto,semi_elast_desc_0_10,p_value_desc_0_10,semi_elast_desc_10_30,p_value_desc_10_30,semi_elast_desc_30_plus,p_value_desc_30_plus,preco_medio,desconto_medio,q_media,share_dias_stockout_base,std_log_preco,pass_obs,pass_var_preco,pass_p_preco,pass_range_preco,quality_score
31027556467,82,15,67,0.11621772052283787,0.9519358202344761,-2.2416343452998366,0.38461000026215575,9.83840201067833,0.04531555297517187,-2.16118258821603,0.5099093393840972,9.778415103382114,0.09684179043795105,3.930128520365854,-0.13809188166356032,8.170731707317072,0.044444444444444446,0.09741615631917673,False,True,False,True,2
31027532908,81,22,59,6.874316914001555,0.05154609278580713,-11.212101179401749,0.017870857599418866,4.250172802520778,0.43497677243381005,7.611995193924333,0.19404363162613336,-0.7644641763534695,0.9249101356783949,23.103215167543212,-0.1481152776701998,2.6419753086419755,0.5147247119078106,0.15673947749937223,False,True,False,False,1
31027552046,81,18,63,2.1168558193262723,0.6864939852550709,-3.247938389186352,0.637298548241171,98.59132160519293,0.02098442614116669,113.46850171256744,0.026807112257085652,165.21836102050318,0.022505903758124113,33.991518894049385,-0.1394552178723878,2.728395061728395,0.15037593984962405,0.07909567157209982,False,True,False,False,1
31027552064,81,17,64,105.52214141012544,0.01942503398252038,-121.55599425836162,0.020458175200529283,81.57386670732414,0.3122037908818287,73.89308917053769,0.4118296123707388,-2.2303048297089845e-11,,15.751249165432098,-0.1200419460650154,79.49382716049382,0.6879699248120301,0.04105574769278689,False,True,True,False,2
31027517883,81,17,64,167.17756245448817,0.32342090530415746,-175.42548555618677,0.33752302639018517,762.2056894225075,0.026235932171062126,819.9952692255885,0.025707124757722077,-1.1649348152786843e-10,,1.372401063185185,-0.07892546094763817,124.30864197530865,0.8540332906530089,0.03240357456241327,False,True,False,False,1
31027554906,81,16,65,-1.5209831865517371,0.6919338823584358,0.41667764850941885,0.9422543336712026,,,,,,,20.08017749996296,-0.15796819180000607,20.48148148148148,0.4375,0.09423635150825999,False,True,False,True,2
31027556473,79,15,64,0.46154573544677313,0.8390773310791677,0.40594002049774275,0.9033021393028702,-13.681961818479785,0.22636636168192026,1.7190599757541511,0.6264115230535583,-6.844474428214044,0.2243573841765243,3.8453194503544306,-0.15787662669326044,8.050632911392405,0.044444444444444446,0.12366279228253199,False,True,False,True,2
31027532902,79,22,57,-2.1097365586264547,0.1754380785387868,1.6827088147334008,0.36084612961923046,,,,,,,23.906406469759492,-0.16262040635228617,2.4177215189873418,0.07554417413572344,0.19689165865214395,False,True,False,True,2
31027554903,78,16,62,14.047986984779845,0.025263449744607813,-20.47918452855972,0.01441715264003185,,,,,,,20.40498500598718,-0.14495288570607526,8.14102564102564,0.4583333333333333,0.07320133821942285,False,True,True,False,2
31027554900,78,16,62,-13.040230890324619,0.05181497249900158,13.608348859620888,0.14553767331754952,-13.753492110536072,0.24475363397585914,-3.6998054501021955,0.9281576352752481,0.4392713307743971,0.9938952299045369,20.177986019730767,-0.15573280252220142,48.93589743589744,0.4583333333333333,0.06944698786637303,False,True,False,False,1
31027541201,76,23,53,-5.611703127574791,0.0015543042723189515,6.883224135327845,0.0008137891617190363,,,,,,,77.54367324561842,-0.13465568062627611,1.5,0.3627968337730871,0.1113556170305478,False,True,True,True,3
2540422,76,17,59,-25.24654578676588,0.00037275902434741326,16.185579504353584,0.029513733849198864,,,,,,,3.4713845732368416,-0.12836292189417406,44.473684210526315,0.8937259923175416,0.04362173217611618,False,True,True,False,2
2466155,74,21,53,-65.48704780085299,0.08712119553619035,66.75323257634372,0.13165959249229497,-124.52241519663511,0.1673331290758957,-135.75029986979376,0.19023080777314427,2.8244073746463982e-12,,5.576886419310811,-0.113372588338431,45.351351351351354,0.8732394366197183,0.06838759529058813,False,True,False,False,1
31027532408,73,15,58,12.830119277002495,0.04777349351008087,-22.954339384895267,0.031668274144045494,-171.1294445827305,0.006204148904949358,-181.75465375398267,0.020278196031267903,-304.32172280407326,0.013559444674455579,2.5565667591232875,-0.22292803673961178,126.17808219178082,0.9039692701664532,0.12838863486643126,False,True,True,False,2
31027553585,70,15,55,23.573555538633755,0.024713512357069645,-27.65793357426131,0.028738350654044398,19.691034791035058,0.6231172198145467,16.75611754006596,0.7361810864772229,15.958438128231274,0.8005996292277073,8.29885101975714,-0.16173222022203432,4.614285714285714,0.06862745098039216,0.11149475822106251,False,True,True,False,2
2677134,70,16,54,-6.26123871844273,0.13632226618567778,4.71994756103997,0.3810236185229674,-6.142480066762979,0.24608905672846215,1.3577533173357237,0.8204667811647106,-17.461182010718538,0.06614656547723596,15.603969313600004,-0.1370421038201109,4.742857142857143,0.8642765685019206,0.142347573621624,False,True,False,True,2
2676099,70,23,47,20.63608886570567,0.4304614972982441,-26.575079916894794,0.36840533747186943,,,,,,,4.195348480657142,-0.12411454325332126,4.1,0.28425096030729835,0.06637562024074327,False,True,False,False,1
31027543427,69,22,47,0.39994750182159877,0.035359202367841513,-1.720687522222092,0.08844590334715252,-0.4004298108598803,0.8880151567711327,2.7700276863290507,0.17831041774151446,1.9973677869767557,0.792179252899913,37.07607971014493,-0.2109793634785076,3.1594202898550723,0.4234828496042216,1.4594274993491223,False,True,True,True,3
31027538588,68,23,45,0.45226288135566267,0.06770192655282115,-2.1446307092347467,0.024984540791283205,1.181646672946035,0.4953750776330976,3.652779320553482,0.10508956330173436,0.8666982086600011,0.6468928876219999,8.107696078426468,-0.18104080015844717,1.8823529411764706,0.2783641160949868,0.8548820381078055,False,True,False,True,2
2032086,68,15,53,-7.7588676376444115,1.4455191054141281e-05,-2.359754250340742,0.1218092478413273,,,,,,,2.9721895040735298,-0.1365459661782376,53.38235294117647,0.9039692701664532,0.056425082512577975,False,True,True,True,3
31027552329,64,18,46,-0.919947596826602,0.9087705087840685,0.13464729732502767,0.9880783881397788,,,,,,,10.4711536458125,-0.12062862846751604,1.703125,0.2822966507177033,0.07204968892116574,False,True,False,True,2
31027552052,64,18,46,-3.8336903602475245,0.47515024324784516,4.586624227575274,0.5283150697774759,-80.62053268284998,0.06186855073569508,-90.830731821881,0.07856036205316896,-131.42932820275297,0.06961569195871586,33.775879092249994,-0.14491445336045808,2.453125,0.14285714285714285,0.07555690161570193,False,True,False,True,2
