sku_anchor,sku_candidato,effect_d,uplift_pct,media_base_candidato,dias_stockout_anchor,p_value,p_value_ajustado,par_id,tem_reciproca,effect_reciproco,uplift_reciproco,score_par
2824023,1603165,1.0067371817582158,0.9690508178247895,84.5241935483871,37,1.4386262755828366e-05,3.797155675872283e-05,1603165|2824023,False,,,
2824023,1603167,0.7344174776479797,0.7711084383899695,93.26881720430107,37,0.0005733365341582907,0.0010252443920086883,1603167|2824023,False,,,
2824023,1603297,0.7691989050699254,1.375038494385376,22.884408602150536,37,0.0005113916237109457,0.0009324269359932089,1603297|2824023,False,,,
2824023,1604309,0.7888182039346916,0.38515150276288485,372.30779569892474,37,8.820654879859946e-05,0.00019361142025807799,1604309|2824023,False,,,
2824023,2032047,0.7099004314927033,0.5423275204439827,982.9650537634409,37,0.0009514276942176815,0.0015744115296297046,2032047|2824023,False,,,
2824023,2032066,0.6482314897074338,0.6446242122095759,142.88978494623655,37,0.0014268691449959938,0.002243732856575711,2032066|2824023,False,,,
2824023,2032068,0.9920455569216068,0.7254923679733714,1080.9448924731182,37,1.7681109795153376e-05,4.58536285438009e-05,2032068|2824023,False,,,
2824023,2032071,0.7059948272848665,0.6562751117136977,363.3682795698925,37,0.0009229007091753052,0.0015323245294240262,2032071|2824023,False,,,
2824023,2340368,0.6033221576110402,0.7292067411337627,168.92607526881721,37,0.0045427002394421625,0.0059110792958065265,2340368|2824023,False,,,
2824023,2387255,0.7563334622520593,0.40763262523503463,577.4502688172043,37,0.0001240553179704878,0.00026524633453833796,2387255|2824023,False,,,
2824023,2422005,0.6710599657375305,0.3363802881128213,759.6559139784946,37,0.0006946484808570664,0.0011988938937904769,2422005|2824023,False,,,
2824023,2422016,0.6436691948821914,0.32712017132935284,191.4529569892473,37,0.00037362702825974184,0.0007127211347804574,2422016|2824023,False,,,
2824023,2464424,0.7002711022895008,0.7906880239023985,16.19489247311828,37,0.0002410725571248742,0.00048279490550884514,2464424|2824023,False,,,
2824023,2466149,0.9489889500399243,0.7525668412573847,249.8266129032258,37,2.0786245848171398e-05,5.3164133098765395e-05,2466149|2824023,False,,,
2824023,2466151,0.9889484114335649,1.6440249717032258,33.98790322580645,37,1.0826789565864019e-05,2.957464943910649e-05,2466151|2824023,False,,,
2824023,2466157,1.009787870238189,0.7025074362792277,387.88575268817203,37,6.7994489436683995e-06,1.9695869649690528e-05,2466157|2824023,False,,,
2824023,2466160,0.9095638252947946,0.7080887726895619,138.2768817204301,37,1.29723259007433e-05,3.448457296691331e-05,2466160|2824023,False,,,
2824023,2466173,0.8510017044770848,1.2547223301940282,61.12096774193548,37,8.122474961172501e-05,0.00017881478210818276,2466173|2824023,False,,,
2824023,2466179,0.9473826127914801,1.0299408103068144,85.0510752688172,37,1.917891660238302e-05,4.947894109573119e-05,2466179|2824023,False,,,
2824023,2540472,0.9072606497970608,0.835356027147859,107.02688172043011,37,2.72626780250552e-05,6.831760462939633e-05,2540472|2824023,False,,,
2824023,2639583,0.6470554285939627,0.7040843736636674,308.8763440860215,37,0.0025302177588861067,0.003632757091502178,2639583|2824023,False,,,
2824023,2639584,0.8538812401846249,2.027882312692439,25.483870967741936,37,0.00019365586926660945,0.0003947498240468884,2639584|2824023,False,,,
2824023,2639585,0.7232531775764544,1.5364600882417707,13.692204301075268,37,0.0007859322309188246,0.0013393294669098318,2639585|2824023,False,,,
2824023,2742119,1.100366007998182,1.4633025942116853,113.84408602150538,37,8.673997958671787e-06,2.4319926352049578e-05,2742119|2824023,False,,,
2824023,2791360,0.7554741373090667,0.7708654693780423,120.90591397849462,37,0.00024402222141743017,0.00048804444283486034,2791360|2824023,False,,,
2824023,2824024,0.794220436331778,0.39201172057731853,1333.7298387096773,37,0.000217355959618835,0.00044004217437818634,2824023|2824024,False,,,
2824023,310236571,0.6791314791562223,0.36058863845589195,403.0846774193548,37,0.0001248299983527458,0.00026613684010355843,2824023|310236571,False,,,
2824023,31023931,0.6971417377930252,0.3773509979163462,324.3790322580645,37,0.0006207492273463292,0.0010953862428921646,2824023|31023931,False,,,
2824023,3102751463,0.6162319797370507,0.4423011702639899,112.78897849462365,37,0.001416117313866058,0.0022315485985206387,2824023|3102751463,False,,,
2824023,3102751465,0.8720998373302853,0.7930522832230239,175.78360215053763,37,5.4000295292514e-05,0.00012656851546478834,2824023|3102751465,False,,,
2824023,3102751467,0.6455198412937627,0.536258251946587,89.52956989247312,37,0.0006174071517658124,0.0010909239328466078,2824023|3102751467,False,,,
2824023,3102751469,1.0832034936114652,1.2429597921339202,250.5497311827957,37,4.239386272264611e-06,1.296240329338521e-05,2824023|3102751469,False,,,
